date, MaxTemperature, MinTemperature, AvgTemperature, AvgTemperatureDeparture, HDD, CDD, Precipitation, Snowfall, SnowDepth
2024-01-01, 43, 38, 40.5, 2.0, 24, 0, T, T, 0
2024-01-02, 47, 33, 40.0, 1.6, 25, 0, 0.00, 0.0, 0
2024-01-03, 48, 34, 41.0, 2.7, 24, 0, 0.00, 0.0, 0
2024-01-04, 47, 32, 39.5, 1.4, 25, 0, 0.00, 0.0, 0
2024-01-05, 41, 27, 34.0, -4.0, 31, 0, 0.00, 0.0, 0
2024-01-06, 40, 33, 36.5, -1.4, 28, 0, 1.02, T, 0
2024-01-07, 53, 34, 43.5, 5.7, 21, 0, 0.00, 0.0, 0
2024-01-08, 51, 37, 44.0, 6.3, 21, 0, 0.00, 0.0, 0
2024-01-09, 59, 39, 49.0, 11.4, 16, 0, 2.24, 0.0, 0
2024-01-10, 57, 41, 49.0, 11.5, 16, 0, T, 0.0, 0
2024-01-11, 52, 33, 42.5, 5.1, 22, 0, 0.00, 0.0, 0
2024-01-12, 54, 34, 44.0, 6.7, 21, 0, 0.33, 0.0, 0
2024-01-13, 55, 34, 44.5, 7.3, 20, 0, 0.04, 0.0, 0
2024-01-14, 50, 31, 40.5, 3.3, 24, 0, T, T, 0
2024-01-15, 31, 25, 28.0, -9.1, 37, 0, 0.31, 3.4, T
2024-01-16, 32, 20, 26.0, -11.1, 39, 0, 0.04, 0.7, 3
2024-01-17, 30, 16, 23.0, -14.1, 42, 0, 0.00, 0.0, 2
2024-01-18, 40, 22, 31.0, -6.0, 34, 0, 0.00, 0.0, 2
2024-01-19, 34, 29, 31.5, -5.5, 33, 0, 0.28, 3.7, 4
2024-01-20, 29, 21, 25.0, -12.0, 40, 0, 0.00, 0.0, 5
2024-01-21, 34, 21, 27.5, -9.5, 37, 0, 0.00, 0.0, 4
2024-01-22, 39, 21, 30.0, -7.0, 35, 0, 0.00, 0.0, 4
2024-01-23, 45, 29, 37.0, -0.1, 28, 0, 0.00, 0.0, 3
2024-01-24, 51, 37, 44.0, 6.9, 21, 0, T, 0.0, 0
2024-01-25, 65, 44, 54.5, 17.3, 10, 0, 0.10, 0.0, 0
2024-01-26, 80, 52, 66.0, 28.8, 0, 1, 0.05, 0.0, 0
2024-01-27, 61, 42, 51.5, 14.2, 13, 0, 0.21, 0.0, 0
2024-01-28, 46, 42, 44.0, 6.6, 21, 0, 1.26, 0.0, 0
2024-01-29, 48, 41, 44.5, 7.1, 20, 0, 0.00, 0.0, 0
2024-01-30, 44, 39, 41.5, 4.0, 23, 0, 0.00, 0.0, 0
2024-01-31, 44, 37, 40.5, 2.9, 24, 0, T, T, 0
2024-02-01, 54, 32, 43.0, 5.3, 22, 0, 0.00, 0.0, 0
2024-02-02, 52, 42, 47.0, 9.1, 18, 0, 0.01, 0.0, 0
2024-02-03, 51, 35, 43.0, 5.0, 22, 0, 0.00, 0.0, 0
2024-02-04, 51, 32, 41.5, 3.4, 23, 0, 0.00, 0.0, 0
2024-02-05, 53, 32, 42.5, 4.3, 22, 0, 0.00, 0.0, 0
2024-02-06, 48, 33, 40.5, 2.1, 24, 0, 0.00, 0.0, 0
2024-02-07, 53, 31, 42.0, 3.4, 23, 0, 0.00, 0.0, 0
2024-02-08, 56, 34, 45.0, 6.3, 20, 0, 0.00, 0.0, 0
2024-02-09, 63, 42, 52.5, 13.6, 12, 0, 0.00, 0.0, 0
2024-02-10, 64, 45, 54.5, 15.4, 10, 0, 0.00, 0.0, 0
2024-02-11, 54, 47, 50.5, 11.3, 14, 0, 0.13, 0.0, 0
2024-02-12, 49, 44, 46.5, 7.1, 18, 0, 0.11, 0.0, 0
2024-02-13, 49, 36, 42.5, 2.9, 22, 0, 0.74, T, 0
2024-02-14, 47, 35, 41.0, 1.2, 24, 0, 0.00, 0.0, 0
2024-02-15, 49, 32, 40.5, 0.5, 24, 0, 0.00, 0.0, 0
2024-02-16, 51, 39, 45.0, 4.8, 20, 0, 0.00, 0.0, 0
2024-02-17, 42, 31, 36.5, -3.9, 28, 0, 0.10, 0.1, T
2024-02-18, 50, 26, 38.0, -2.6, 27, 0, 0.00, 0.0, 0
2024-02-19, 49, 33, 41.0, 0.2, 24, 0, 0.00, 0.0, 0
2024-02-20, 51, 31, 41.0, -0.1, 24, 0, 0.00, 0.0, 0
2024-02-21, 50, 31, 40.5, -0.8, 24, 0, 0.00, 0.0, 0
2024-02-22, 53, 33, 43.0, 1.5, 22, 0, T, 0.0, 0
2024-02-23, 52, 41, 46.5, 4.8, 18, 0, 0.01, 0.0, 0
2024-02-24, 53, 33, 43.0, 1.0, 22, 0, 0.02, 0.0, 0
2024-02-25, 47, 29, 38.0, -4.2, 27, 0, 0.00, 0.0, 0
2024-02-26, 68, 38, 53.0, 10.6, 12, 0, 0.00, 0.0, 0
2024-02-27, 64, 43, 53.5, 10.8, 11, 0, 0.02, 0.0, 0
2024-02-28, 65, 42, 53.5, 10.6, 11, 0, 0.27, 0.0, 0
2024-02-29, 50, 33, 41.5, -1.5, 23, 0, 0.00, 0.0, 0
2024-03-01, 54, 33, 43.5, 0.3, 21, 0, 0.04, 0.0, 0
2024-03-02, 55, 42, 48.5, 5.1, 16, 0, 0.73, 0.0, 0
2024-03-03, 65, 43, 54.0, 10.3, 11, 0, 0.00, 0.0, 0
2024-03-04, 69, 49, 59.0, 15.1, 6, 0, 0.07, 0.0, 0
2024-03-05, 59, 48, 53.5, 9.3, 11, 0, 0.52, 0.0, 0
2024-03-06, 56, 50, 53.0, 8.5, 12, 0, 0.19, 0.0, 0
2024-03-07, 65, 50, 57.5, 12.8, 7, 0, 0.01, 0.0, 0
2024-03-08, 61, 46, 53.5, 8.5, 11, 0, 0.00, 0.0, 0
2024-03-09, 54, 44, 49.0, 3.7, 16, 0, 0.81, 0.0, 0
2024-03-10, 51, 40, 45.5, -0.1, 19, 0, 0.02, T, 0
2024-03-11, 58, 40, 49.0, 3.1, 16, 0, 0.00, 0.0, 0
2024-03-12, 75, 42, 58.5, 12.3, 6, 0, 0.00, 0.0, 0
2024-03-13, 75, 46, 60.5, 14.1, 4, 0, 0.00, 0.0, 0
2024-03-14, 77, 47, 62.0, 15.3, 3, 0, 0.00, 0.0, 0
2024-03-15, 76, 57, 66.5, 19.4, 0, 2, 0.02, 0.0, 0
2024-03-16, 66, 48, 57.0, 9.6, 8, 0, 0.00, 0.0, 0
2024-03-17, 73, 50, 61.5, 13.8, 3, 0, 0.00, 0.0, 0
2024-03-18, 53, 38, 45.5, -2.5, 19, 0, 0.00, 0.0, 0
2024-03-19, 53, 35, 44.0, -4.3, 21, 0, 0.00, 0.0, 0
2024-03-20, 70, 40, 55.0, 6.3, 10, 0, 0.00, 0.0, 0
2024-03-21, 51, 32, 41.5, -7.5, 23, 0, 0.00, 0.0, 0
2024-03-22, 52, 35, 43.5, -5.8, 21, 0, 0.02, 0.0, 0
2024-03-23, 56, 37, 46.5, -3.2, 18, 0, 1.61, 0.0, 0
2024-03-24, 53, 33, 43.0, -7.0, 22, 0, 0.00, 0.0, 0
2024-03-25, 57, 36, 46.5, -3.9, 18, 0, 0.00, 0.0, 0
2024-03-26, 61, 39, 50.0, -0.7, 15, 0, T, 0.0, 0
2024-03-27, 50, 46, 48.0, -3.1, 17, 0, 0.78, 0.0, 0
2024-03-28, 54, 48, 51.0, -0.5, 14, 0, 0.06, 0.0, 0
2024-03-29, 65, 40, 52.5, 0.7, 12, 0, 0.00, 0.0, 0
2024-03-30, 67, 40, 53.5, 1.3, 11, 0, 0.01, 0.0, 0
2024-03-31, 67, 47, 57.0, 4.4, 8, 0, T, 0.0, 0
2024-04-01, 57, 52, 54.5, 1.6, 10, 0, 0.25, 0.0, 0
2024-04-02, 54, 49, 51.5, -1.8, 13, 0, 0.38, 0.0, 0
2024-04-03, 53, 46, 49.5, -4.2, 15, 0, 1.03, 0.0, 0
2024-04-04, 58, 40, 49.0, -5.1, 16, 0, 0.02, 0.0, 0
2024-04-05, 57, 40, 48.5, -6.0, 16, 0, 0.00, 0.0, 0
2024-04-06, 57, 41, 49.0, -5.8, 16, 0, 0.00, 0.0, 0
2024-04-07, 65, 43, 54.0, -1.2, 11, 0, 0.00, 0.0, 0
2024-04-08, 71, 44, 57.5, 1.9, 7, 0, 0.00, 0.0, 0
2024-04-09, 78, 51, 64.5, 8.5, 0, 0, 0.00, 0.0, 0
2024-04-10, 77, 59, 68.0, 11.7, 0, 3, T, 0.0, 0
2024-04-11, 73, 61, 67.0, 10.3, 0, 2, T, 0.0, 0
2024-04-12, 69, 59, 64.0, 6.9, 1, 0, 0.19, 0.0, 0
2024-04-13, 68, 54, 61.0, 3.6, 4, 0, 0.00, 0.0, 0
2024-04-14, 82, 48, 65.0, 7.2, 0, 0, 0.00, 0.0, 0
2024-04-15, 83, 63, 73.0, 14.8, 0, 8, 0.14, T, 0
2024-04-16, 74, 57, 65.5, 7.0, 0, 1, 0.00, 0.0, 0
2024-04-17, 74, 58, 66.0, 7.1, 0, 1, T, 0.0, 0
2024-04-18, 79, 57, 68.0, 8.8, 0, 3, 0.00, 0.0, 0
2024-04-19, 57, 51, 54.0, -5.6, 11, 0, 0.01, 0.0, 0
2024-04-20, 75, 55, 65.0, 5.1, 0, 0, 0.01, 0.0, 0
2024-04-21, 62, 47, 54.5, -5.7, 10, 0, 0.00, 0.0, 0
2024-04-22, 65, 42, 53.5, -7.1, 11, 0, 0.00, 0.0, 0
2024-04-23, 72, 44, 58.0, -2.9, 7, 0, 0.00, 0.0, 0
2024-04-24, 77, 57, 67.0, 5.8, 0, 2, T, 0.0, 0
2024-04-25, 62, 49, 55.5, -6.0, 9, 0, 0.00, 0.0, 0
2024-04-26, 66, 46, 56.0, -5.8, 9, 0, 0.00, 0.0, 0
2024-04-27, 60, 52, 56.0, -6.1, 9, 0, 0.03, 0.0, 0
2024-04-28, 84, 56, 70.0, 7.6, 0, 5, T, 0.0, 0
2024-04-29, 89, 62, 75.5, 12.8, 0, 11, 0.00, 0.0, 0
2024-04-30, 85, 64, 74.5, 11.5, 0, 10, T, 0.0, 0
2024-05-01, 85, 64, 74.5, 11.3, 0, 10, 0.00, 0.0, 0
2024-05-02, 91, 63, 77.0, 13.5, 0, 12, 0.00, 0.0, 0
2024-05-03, 76, 55, 65.5, 1.7, 0, 1, 0.00, 0.0, 0
2024-05-04, 56, 53, 54.5, -9.6, 10, 0, 0.82, 0.0, 0
2024-05-05, 72, 55, 63.5, -0.8, 1, 0, 0.58, 0.0, 0
2024-05-06, 77, 67, 72.0, 7.4, 0, 7, 0.02, 0.0, 0
2024-05-07, 79, 68, 73.5, 8.7, 0, 9, 0.01, 0.0, 0
2024-05-08, 88, 68, 78.0, 12.9, 0, 13, T, 0.0, 0
2024-05-09, 75, 60, 67.5, 2.1, 0, 3, 0.22, 0.0, 0
2024-05-10, 61, 51, 56.0, -9.6, 9, 0, 0.07, 0.0, 0
2024-05-11, 67, 48, 57.5, -8.4, 7, 0, 0.24, 0.0, 0
2024-05-12, 70, 50, 60.0, -6.1, 5, 0, 0.40, 0.0, 0
2024-05-13, 77, 52, 64.5, -1.9, 0, 0, 0.00, 0.0, 0
2024-05-14, 69, 62, 65.5, -1.1, 0, 1, 0.27, 0.0, 0
2024-05-15, 68, 61, 64.5, -2.4, 0, 0, 0.09, 0.0, 0
2024-05-16, 82, 59, 70.5, 3.3, 0, 6, 0.00, 0.0, 0
2024-05-17, 69, 64, 66.5, -0.9, 0, 2, T, 0.0, 0
2024-05-18, 65, 62, 63.5, -4.2, 1, 0, 0.55, 0.0, 0
2024-05-19, 76, 63, 69.5, 1.5, 0, 5, 0.00, 0.0, 0
2024-05-20, 81, 60, 70.5, 2.3, 0, 6, 0.00, 0.0, 0
2024-05-21, 83, 62, 72.5, 4.0, 0, 8, 0.00, 0.0, 0
2024-05-22, 87, 65, 76.0, 7.2, 0, 11, 0.00, 0.0, 0
2024-05-23, 86, 72, 79.0, 9.9, 0, 14, 0.02, 0.0, 0
2024-05-24, 88, 70, 79.0, 9.6, 0, 14, 0.01, 0.0, 0
2024-05-25, 87, 69, 78.0, 8.3, 0, 13, 0.04, 0.0, 0
2024-05-26, 88, 68, 78.0, 8.0, 0, 13, M, 0.0, 0
2024-05-27, 82, 68, 75.0, 4.7, 0, 10, 0.17, 0.0, 0
2024-05-28, 83, 64, 73.5, 2.9, 0, 9, 0.41, 0.0, 0
2024-05-29, 79, 60, 69.5, -1.4, 0, 5, 0.38, 0.0, 0
2024-05-30, 76, 58, 67.0, -4.2, 0, 2, T, 0.0, 0
2024-05-31, 77, 56, 66.5, -5.0, 0, 2, 0.00, 0.0, 0
2024-06-01, 81, 58, 69.5, -2.3, 0, 5, 0.00, 0.0, 0
2024-06-02, 83, 64, 73.5, 1.3, 0, 9, T, 0.0, 0
2024-06-03, 86, 69, 77.5, 5.0, 0, 13, 0.01, 0.0, 0
2024-06-04, 88, 69, 78.5, 5.7, 0, 14, 0.00, 0.0, 0
2024-06-05, 83, 72, 77.5, 4.4, 0, 13, 0.46, 0.0, 0
2024-06-06, 86, 75, 80.5, 7.0, 0, 16, T, 0.0, 0
2024-06-07, 87, 70, 78.5, 4.7, 0, 14, T, 0.0, 0
2024-06-08, 86, 64, 75.0, 0.9, 0, 10, 0.00, 0.0, 0
2024-06-09, 85, 71, 78.0, 3.5, 0, 13, T, 0.0, 0
2024-06-10, 83, 64, 73.5, -1.3, 0, 9, 0.01, 0.0, 0
2024-06-11, 76, 64, 70.0, -5.1, 0, 5, T, 0.0, 0
2024-06-12, 83, 61, 72.0, -3.4, 0, 7, 0.00, 0.0, 0
2024-06-13, 90, 68, 79.0, 3.3, 0, 14, 0.00, 0.0, 0
2024-06-14, 91, 72, 81.5, 5.4, 0, 17, T, 0.0, 0
2024-06-15, 87, 68, 77.5, 1.1, 0, 13, 0.00, 0.0, 0
2024-06-16, 89, 66, 77.5, 0.8, 0, 13, 0.00, 0.0, 0
2024-06-17, 91, 71, 81.0, 4.0, 0, 16, 0.00, 0.0, 0
2024-06-18, 94, 74, 84.0, 6.7, 0, 19, 0.00, 0.0, 0
2024-06-19, 91, 72, 81.5, 4.0, 0, 17, 0.00, 0.0, 0
2024-06-20, 91, 73, 82.0, 4.2, 0, 17, 0.00, 0.0, 0
2024-06-21, 95, 73, 84.0, 5.9, 0, 19, 0.00, 0.0, 0
2024-06-22, 100, 77, 88.5, 10.2, 0, 24, 0.00, 0.0, 0
2024-06-23, 99, 81, 90.0, 11.4, 0, 25, 0.00, 0.0, 0
2024-06-24, 91, 76, 83.5, 4.7, 0, 19, 0.00, 0.0, 0
